brand,all_vegan,partial_vegan,bad_parent_company,black_owned,ulta,sephora,beauty_bay,cult_beauty,nordstrom
gaia secrets,False,False,False,False,0,0,0,0,0
garden of wisdom,False,False,False,False,0,0,0,0,0
garnier,False,False,True,False,1,0,0,0,0
geek chic cosmetics,True,False,False,False,0,0,0,0,0
"gel bottle, the -100% vegan",True,False,False,False,0,0,0,0,0
gerard cosmetics,False,False,False,False,0,0,1,0,0
giovanni,False,False,False,False,0,0,0,0,0
gladrags,False,False,False,False,0,0,0,0,0
glamlite,False,False,False,True,0,0,0,0,0
glow recipe,False,False,False,False,0,0,0,0,0
glowoasis,True,False,False,False,0,0,0,0,0
"gnarly whale, the",False,False,False,False,0,0,0,0,0
goby,False,False,False,False,0,0,0,0,0
goddess garden organics,True,False,False,False,0,0,0,0,0
goli nutrition,False,False,False,False,0,0,0,0,0
good chemistry,True,False,False,False,0,0,0,0,0
good dye young,True,False,False,False,0,1,0,0,0
good molecules,False,False,False,False,0,0,0,0,0
grace & stella,True,False,False,False,0,0,0,0,0
green & gorgeous organics,False,False,False,False,0,0,0,0,0
green beaver,False,False,False,False,0,0,0,0,0
green people,False,False,False,False,0,0,0,0,0
green tidings,True,False,False,False,0,0,0,0,0
green virgin products,False,False,False,False,0,0,0,0,0
gressa,False,False,False,False,0,0,0,0,0
grove collaborative,False,False,False,False,0,0,0,0,0
gwen’s blends,False,False,False,False,0,0,0,0,0
han skincare cosmetics,False,False,False,False,1,0,0,0,0
han skincare cosmetics,False,False,False,False,0,0,0,0,0
habit cosmetics,True,False,False,False,0,0,0,0,0
hain celestial,False,False,False,False,0,0,0,0,0
hand in hand soap,True,False,False,False,0,0,0,0,0
handmade heroes,True,False,False,False,0,0,0,0,0
harvey prince,True,False,False,False,0,0,0,0,0
hask,False,False,False,False,1,0,0,0,0
healanah,True,False,False,False,0,0,0,0,0
hello products,True,False,True,False,1,0,0,0,0
hempz,False,False,False,False,1,0,0,0,0
herbal choice mari,True,False,False,False,0,0,0,0,0
herbal-medi-care,True,False,False,False,0,0,0,0,0
herban cowboy,False,False,False,False,0,0,0,0,0
herbivore,True,False,False,False,0,1,0,0,0
heritage store,False,False,False,False,1,0,0,0,0
hero cosmetics (also known as mighty patch),False,False,False,False,0,0,0,0,0
hismile,True,False,False,False,0,0,0,0,0
high endurance cosmetics,False,False,False,False,0,0,0,0,0
homemade betty,True,False,False,False,0,0,0,0,0
"honey pot co, the",False,False,False,True,0,0,0,0,0
honeybee gardens,False,False,False,False,0,0,0,0,0
hot tresses,True,False,False,False,0,0,0,0,0
hourglass cosmetics,False,True,True,False,1,1,0,1,1
hourglass,False,True,True,False,0,0,0,0,0
house of lashes,False,False,False,False,1,0,1,0,0
hugo naturals,True,False,False,False,0,0,0,0,0
hum nutrition,False,False,False,False,0,1,0,0,1
hurraw!,True,False,False,False,0,0,0,0,0
hylamide,False,False,True,False,0,0,0,0,0
hynt beauty,False,False,False,False,1,0,0,0,0
i heart revolution,False,False,False,False,1,0,0,0,0
igk,True,False,False,False,0,1,0,0,0
igk -100% vegan,True,False,False,False,1,0,0,0,0
ime natural perfume,True,False,False,False,0,0,0,0,0
inika,True,False,False,False,0,0,0,0,0
if you care,False,False,False,False,0,0,0,0,0
illume,False,False,False,False,0,0,0,0,0
illuminare cosmetics,True,False,False,False,0,0,0,0,0
imayla beauty,False,False,False,False,0,0,0,0,0
indie blends,True,False,False,False,0,0,0,0,0
indie lee,False,False,False,False,1,1,0,1,1
indigo wild,False,False,False,False,0,0,0,0,0
"inkey list, the",False,False,False,False,0,1,0,0,0
inkling scents,False,False,False,False,0,0,0,0,0
innate organic body,True,False,False,False,0,0,0,0,0
inoar,False,False,False,False,0,0,0,0,0
insert name here,False,False,False,False,0,0,0,0,0
intelligent nutrients,False,False,False,False,0,0,0,0,0
isadora,False,False,False,False,0,0,0,0,0
isle of paradise,True,False,False,False,0,1,0,0,0
it’s a 10,False,False,False,False,1,0,0,0,0
j.r. watkins,False,False,False,False,1,0,0,0,0
jacq’s,True,False,False,False,0,0,0,0,0
jane carter solution,True,False,False,True,0,0,0,0,0
jane iredale,False,False,False,False,1,0,0,0,1
jason naturals,False,False,False,False,0,0,0,0,0
jaxkelly,False,False,False,False,0,0,0,0,0
jecca black/jecca makeup,True,False,False,False,0,0,0,0,0
jeffree star cosmetics,True,False,False,False,0,0,1,0,0
jillian wright skincare,False,False,False,False,0,0,0,0,0
jing ai,False,False,False,False,0,0,0,0,0
jivi,True,False,False,False,0,0,0,0,0
johnny concert,True,False,False,False,0,0,0,0,0
jordana,False,False,False,False,0,0,1,0,0
joshik polish,True,False,False,False,0,0,0,0,0
josie maran,False,False,False,False,1,1,0,0,0
josie maran cosmetics,False,False,False,False,0,0,0,0,0
